date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:36	57451/57451	---M--	200	added ('OK')	image/jpeg	etag:%22e06b-61aef5df-9f988934cdcef075;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/about-bg.jpg	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/about-bg.jpg	(from http://zairito-html.zainiktheme.com/demo/assets/css/style.css)
22:29:40	69384/69384	---M--	200	added ('OK')	image/png	etag:%2210f08-61aef5e0-25fe695eb5e98837;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/shop-image.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/shop-image.png	(from http://zairito-html.zainiktheme.com/demo/assets/css/style.css)
22:29:41	42276/42276	---M--	200	added ('OK')	image/png	etag:%22a524-61aef5df-dcc53878b686e792;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/breadcrumb-bg-3.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/breadcrumb-bg-3.png	(from http://zairito-html.zainiktheme.com/demo/assets/css/style.css)
22:29:43	915/915	---M--	200	added ('OK')	image/png	etag:%22393-61aef5e0-4f908e298f4c96a8;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/service-icon-1.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/service-icon-1.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:43	601/601	---M--	200	added ('OK')	image/png	etag:%22259-61aef5e0-d52a0918559a6c90;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/service-icon-2.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/service-icon-2.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:44	915/915	---M--	200	added ('OK')	image/png	etag:%22393-61aef5e0-691e157c3ac53a85;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/service-icon-3.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/service-icon-3.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:45	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-61aef5e0-cec2ecd99d1c8b8c;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/service-icon-4.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/service-icon-4.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:46	598/598	---M--	200	added ('OK')	image/png	etag:%22256-61aef5df-fd16953c4854c131;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/features-icon-1.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/features-icon-1.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:46	1088/1088	---M--	200	added ('OK')	image/png	etag:%22440-61aef5df-92026e4c6cf23085;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/features-icon-2.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/features-icon-2.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
22:29:47	1600/1600	---M--	200	added ('OK')	image/png	etag:%22640-61aef5df-c0f4f736bbb0bcc8;;;%22	http://zairito-html.zainiktheme.com/demo/assets/images/features-icon-3.png	C:/My%20Web%20Sites/web%20temp/zairito-html.zainiktheme.com/demo/assets/images/features-icon-3.png	(from http://zairito-html.zainiktheme.com/demo/about-us.html)
